Nama Jalan,Latitude,Longtitude,Lajur,Waktu,Hari,Tanggal,MOTOR,MOBIL,BUS/TRUK,JUMLAH,HEADWAY(s),GAP(s),85 P SPEED (Km/Jam),AVG. SPEED (Km/Jam),OCCUPANCY (%),LEBAR JALAN (m),PANJANG ANTRIAN (m)
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,SENIN,25-04-2022 16:00,1443,1192,588,3223,0.00,0.76,50.50,40.25,64.29,21,540
SP. M TOHA,-6.948332,107.609386,BELOK KIRI,SIANG,SABTU,16-04-2022 12:00,467,395,196,1058,0.02,2.28,44.75,19.88,64.26,12.5,540
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SIANG,SABTU,16-04-2022 12:00,984,1977,185,3146,0.00,1.93,39.50,19.31,64.26,12.5,540
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SORE,RABU,27-04-2022 16:00,424,484,148,1056,0.82,18.43,39.50,18.81,64.26,12.5,540
SP. M TOHA,-6.948332,107.609386,Lurus kanan,SORE,SABTU,23-04-2022 16:00,343,393,189,925,0.07,17.57,38.50,15.12,64.18,12.5,540
SP. ISTANA PLAZA,-6.906442307,107.5975451,Belok kanan,SORE,MINGGU,24-04-2022 16:00,932,1198,49,2179,0.32,1.48,38.00,22.94,64.16,14,540
SP. PASIR KALIKI,-6.900525,107.597353,Lurus kanan,PAGI,RABU,20-04-2022 07:00,539,681,67,1287,0.27,2.11,39.50,17.06,64.15,14,540
SP. PASIR KOJA,-6.930399,107.57604,Lurus kanan,PAGI,JUMAT,22-04-2022 07:00,679,425,243,1347,1.02,10.99,45.00,26.75,64.15,22,540
SP. ISTANA PLAZA,-6.906442307,107.5975451,Belok kanan,SIANG,MINGGU,24-04-2022 12:00,901,1115,86,2102,0.05,2.03,36.75,19.00,64.14,14,540
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,SELASA,26-04-2022 16:00,1433,844,323,2600,0.00,12.05,43.75,25.38,64.14,21,540
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,SIANG,SELASA,05-04-2022 12:00,416,507,392,1315,0.05,4.89,41.50,25.38,64.13,22,540
SP. BATUNUNGGAL,-6.949535,107.626064,LURUS KIRI,PAGI,SENIN,11-04-2022 7:00,442,270,118,830,6.70,10.20,48.25,30.62,64.11,14,540
SP. GEDE BAGE,-6.937128,107.692583,Belok kiri,PAGI,JUMAT,22-04-2022 07:00,640,58,14,712,2.01,12.18,38.25,22.75,64.10,7.2,540
SP. BATUNUNGGAL,-6.949535,107.626064,LURUS KIRI,PAGI,KAMIS,28-04-2022 07:00,441,328,95,864,0.47,8.34,46.25,29.06,64.09,14,540
SP. UJUNG BERUNG,-6.914068,107.699412,LURUS KANAN,SIANG,JUMAT,28-04-2022 12:00,646,631,158,1435,0.32,2.53,39.25,28.50,64.08,6,540
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,PAGI,JUMAT,08-04-2022 7:00,882,1032,222,2136,0.02,7.99,52.50,22.06,64.07,21,540
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SORE,RABU,27-04-2022 16:00,283,286,22,591,1.37,5.81,46.25,19.19,64.07,21,540
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,SORE,KAMIS,07-04-2022 16:00,610,506,122,1238,0.22,1.98,43.00,22.25,64.05,22,540
SP. BATUNUNGGAL,-6.949535,107.626064,Lurus kanan,SIANG,JUMAT,22-04-2022 12:00,442,470,249,1161,0.34,3.54,53.50,38.69,64.03,14,540
SP. GEDE BAGE,-6.937128,107.692583,LURUS KANAN,PAGI,SENIN,25-04-2022 07:00,501,412,174,1087,0.07,4.43,38.75,17.19,64.03,7.2,540
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,PAGI,RABU,13-04-2022 07:00,1414,663,87,2164,0.00,1.09,43.00,24.38,64.03,12.5,540
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,JUMAT,01-04-2022 7:00,2312,935,160,3407,0.04,0.85,41.50,29.94,64.02,21,540
SP. SAMSAT,-6.945438,107.641889,BELOK KANAN,SORE,KAMIS,28-04-2022 16:00,700,1222,730,2652,0.08,2.54,32.25,11.25,64.01,21,540
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SIANG,SENIN,11-04-2022 12:00,185,312,75,572,0.81,13.81,46.50,21.50,64.00,21,540
SP. M TOHA,-6.948332,107.609386,BELOK KIRI,SIANG,SABTU,30-04-2022 12:00,1058,515,69,1642,0.00,3.43,40.00,21.56,63.99,12.5,540
SP. ISTANA PLAZA,-6.906442307,107.5975451,LURUS,PAGI,KAMIS,14-04-2022 07:00,182,493,44,719,0.30,6.09,114.25,78.06,63.97,14,540
SP. BATUNUNGGAL,-6.949535,107.626064,LURUS KIRI,PAGI,KAMIS,07-04-2022 7:00,426,300,112,838,1.38,7.44,51.75,35.69,63.96,14,540
SP. GEDE BAGE,-6.937128,107.692583,Lurus kanan,SORE,MINGGU,24-04-2022 12:00,381,453,122,956,0.06,3.67,54.25,20.38,63.95,7.2,540
SP. PASTEUR,-6.892133857,107.5811173,LURUS KANAN,PAGI,JUMAT,08-04-2022 7:00,1166,1568,207,2941,0.05,1.35,48.75,21.94,63.94,14,540
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SIANG,MINGGU,03-04-2022 12:00,522,709,90,1321,1.29,3.81,33.25,17.81,63.94,21,540
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,KAMIS,28-04-2022 07:00,2385,944,312,3641,0.00,1.21,44.25,33.31,63.94,21,540
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SORE,KAMIS,28-04-2022 16:00,1241,965,152,2358,0.01,1.69,41.50,18.50,63.92,21,540
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,SORE,SABTU,30-04-2022 16:00,172,1188,559,1919,0.02,5.18,52.25,15.69,63.92,22,540
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SIANG,KAMIS,14-04-2022 12:00,668,712,208,1588,0.29,6.25,42.50,21.00,63.89,21,540
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,PAGI,KAMIS,07-04-2022 7:00,1378,704,117,2199,0.00,2.00,42.25,19.62,63.89,12.5,540
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SORE,JUMAT,29-04-2022 16:00,734,1197,217,2148,0.07,3.06,40.00,18.81,63.88,21,540
SP. GEDE BAGE,-6.937128,107.692583,Lurus kanan,SIANG,SELASA,19-04-2022 12:00,231,182,231,644,0.10,6.07,48.75,19.00,63.86,7.2,540
SP. BUAH BATU,-6.947987,107.633434,BELOK KIRI,PAGI,SENIN,11-04-2022 7:00,2191,834,66,3091,0.03,1.22,51.50,30.19,63.82,21,540
SP. PASTEUR,-6.892133857,107.5811173,LURUS KANAN,SIANG,SENIN,25-04-2022 12:00,1016,1968,181,3165,0.05,0.81,36.00,17.56,63.81,14,540
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,SENIN,11-04-2022 7:00,538,513,53,1104,0.04,9.65,39.75,11.81,63.78,21,530
SP. PASTEUR,-6.892133857,107.5811173,LURUS KANAN,SORE,JUMAT,29-04-2022 16:00,1236,1941,85,3262,0.00,1.53,40.00,17.56,63.76,14,530
SP. PASTEUR,-6.892133857,107.5811173,LURUS KANAN,SIANG,RABU,13-04-2022 12:00,764,1433,167,2364,0.00,1.84,40.00,19.58,63.74,14,530
SP. BUAH BATU,-6.947987,107.633434,Lurus kanan,SORE,SELASA,19-04-2022 16:00,1097,687,229,2013,0.00,1.93,41.50,11.75,63.72,21,530
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SIANG,MINGGU,17-04-2022 12:00,1010,798,164,1972,0.00,0.68,35.50,29.44,63.70,21,530
SP. SAMSAT,-6.945438,107.641889,Lurus kanan,SIANG,RABU,20-04-2022 12:00,327,438,162,927,0.02,9.14,31.00,22.99,63.69,21,530
SP. M TOHA,-6.948332,107.609386,BELOK KIRI,PAGI,SENIN,04-04-2022 7:00,1373,238,127,1738,0.80,2.25,45.00,23.19,63.68,12.5,530
SP. PASIR KALIKI,-6.900525,107.597353,LURUS,SORE,SELASA,05-04-2022 16:00,221,742,87,1050,2.12,4.37,49.00,20.62,63.67,14,530
SP. GEDE BAGE,-6.937128,107.692583,LURUS KANAN,PAGI,KAMIS,14-04-2022 07:00,680,385,112,1177,0.06,2.49,39.00,21.00,63.66,7.2,530
SP. BATUNUNGGAL,-6.949535,107.626064,LURUS KIRI,SORE,KAMIS,07-04-2022 16:00,372,281,127,780,0.41,6.67,45.25,29.69,63.62,14,530
SP. UJUNG BERUNG,-6.914068,107.699412,LURUS KANAN,PAGI,SELASA,12-04-2022 7:00,602,421,186,1209,0.39,4.09,50.00,31.38,63.62,6,530
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SIANG,SENIN,18-04-2022 12:00,206,330,45,581,0.15,17.94,45.75,23.06,63.59,21,530
SP. BUAH BATU,-6.947987,107.633434,BELOK KIRI,SIANG,SENIN,25-04-2022 12:00,1173,721,123,2017,0.02,1.82,52.75,34.38,63.57,21,530
SP. BUAH BATU,-6.947987,107.633434,Lurus kanan,SORE,JUMAT,22-04-2022 16:00,710,1014,257,1981,0.16,2.62,50.25,24.81,63.56,21,530
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SIANG,MINGGU,10-04-2022 12:00,334,390,92,816,0.58,3.82,27.00,16.77,63.55,21,530
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,RABU,27-04-2022 16:00,515,483,62,1060,0.13,3.80,33.75,17.31,63.55,21,530
SP. BUAH BATU,-6.947987,107.633434,BELOK KIRI,SORE,RABU,06-04-2022 16:00,1256,773,105,2134,0.24,0.71,51.25,31.94,63.51,21,530
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SORE,SABTU,09-04-2022 16:00,137,414,8,559,1.50,3.53,45.50,23.12,63.51,21,530
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SORE,KAMIS,07-04-2022 16:00,1003,614,122,1739,0.00,1.71,40.75,16.88,63.49,12.5,530
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SORE,SABTU,02-04-2022 16:00,809,839,95,1743,0.00,4.49,36.25,14.94,63.47,21,530
SP. ISTANA PLAZA,-6.906442307,107.5975451,BELOK KANAN,SORE,RABU,27-04-2022 16:00,1571,1068,129,2768,0.04,1.50,38.25,22.12,63.46,14,530
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,SELASA,12-04-2022 7:00,565,406,54,1025,0.10,2.93,31.25,22.64,63.46,21,530
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SIANG,JUMAT,01-04-2022 12:00,260,450,166,876,0.31,7.47,29.00,20.64,63.43,21,530
SP. CIBEREUM,-6.917224,107.574382,LURUS,SORE,JUMAT,01-04-2022 16:00,2563,1138,313,4014,0.00,0.61,37.00,19.62,63.39,9.5,530
SP. PASIR KALIKI,-6.900525,107.597353,LURUS,PAGI,SENIN,18-04-2022 07:00,363,468,87,918,0.43,4.97,50.75,25.81,63.38,14,530
SP. PASIR KALIKI,-6.900525,107.597353,LURUS KANAN,PAGI,SENIN,18-04-2022 07:00,498,626,60,1184,0.29,1.84,36.75,17.19,63.38,14,530
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SORE,SENIN,18-04-2022 16:00,356,485,152,993,3.79,6.40,40.75,21.56,63.37,12.5,530
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SORE,KAMIS,14-04-2022 16:00,146,437,14,597,6.98,13.22,43.25,15.44,63.35,21,530
SP. ISTANA PLAZA,-6.906442307,107.5975451,BELOK KANAN,SORE,SENIN,11-04-2022 16:00,1125,1064,141,2330,0.01,2.45,38.00,22.81,63.35,14,530
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SIANG,SENIN,11-04-2022 12:00,1024,763,459,2246,0.10,1.08,42.75,34.06,63.35,21,530
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,KAMIS,28-04-2022 07:00,339,535,38,912,0.11,11.97,36.00,15.69,63.34,21,530
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SIANG,SENIN,25-04-2022 12:00,632,655,340,1627,0.07,3.64,51.25,19.44,63.33,21,530
SP. PASIR KALIKI,-6.900525,107.597353,LURUS,SORE,SABTU,02-04-2022 16:00,241,487,58,786,2.28,9.38,45.25,27.62,63.33,14,530
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,SENIN,11-04-2022 7:00,2819,970,227,4016,0.00,0.20,49.75,31.62,63.32,21,530
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,KAMIS,28-04-2022 16:00,1971,1865,370,4206,0.02,1.13,41.25,12.19,63.32,21,530
SP. CIBEREUM,-6.917224,107.574382,LURUS,SIANG,KAMIS,28-04-2022 12:00,703,811,578,2092,0.01,1.37,120.75,50.12,63.28,9.5,530
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SIANG,KAMIS,14-04-2022 12:00,238,423,271,932,0.60,6.31,44.25,29.31,63.26,12.5,530
SP. SAMSAT,-6.945438,107.641889,BELOK KANAN,SIANG,KAMIS,28-04-2022 12:00,472,941,583,1996,0.62,6.02,28.75,13.06,63.25,21,530
SP. ISTANA PLAZA,-6.906442307,107.5975451,BELOK KANAN,SORE,SELASA,12-04-2022 16:00,1502,981,111,2594,0.01,0.97,39.75,19.81,63.22,14,530
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SORE,SELASA,26-04-2022 16:00,974,803,138,1915,0.33,1.31,37.00,18.00,63.22,12.5,530
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SORE,SENIN,11-04-2022 16:00,566,345,221,1132,0.56,2.37,43.50,19.50,63.21,12.5,530
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,SIANG,SABTU,02-04-2022 12:00,425,725,351,1501,0.33,2.71,38.50,18.31,63.21,22,530
SP. CIBEREUM,-6.917224,107.574382,LURUS,SORE,RABU,27-04-2022 16:00,2708,1028,179,3915,0.19,1.38,35.00,18.50,63.20,9.5,530
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SORE,SELASA,05-04-2022 16:00,712,758,227,1697,0.06,4.23,41.75,17.69,63.19,21,530
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,SABTU,02-04-2022 16:00,1007,932,142,2081,0.14,1.87,29.25,13.19,63.17,21,530
SP. UJUNG BERUNG,-6.914068,107.699412,LURUS KIRI,SORE,SABTU,09-04-2022 16:00,1680,928,195,2803,0.00,1.30,33.50,20.69,63.17,6,530
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SIANG,RABU,27-04-2022 12:00,1381,2026,630,4037,0.04,1.05,45.00,15.38,63.16,21,530
SP. PASIR KALIKI,-6.900525,107.597353,LURUS,SORE,JUMAT,01-04-2022 16:00,224,492,116,832,0.26,15.18,51.75,22.62,63.15,14,530
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SIANG,KAMIS,14-04-2022 12:00,964,707,506,2177,0.20,4.08,45.00,35.12,63.14,21,530
SP. PASTEUR,-6.892133857,107.5811173,LURUS KANAN,SIANG,SELASA,26-04-2022 12:00,1000,1964,140,3104,0.00,1.44,39.50,16.88,63.13,14,530
SP. ISTANA PLAZA,-6.906442307,107.5975451,LURUS KIRI,SIANG,SENIN,25-04-2022 12:00,376,629,86,1091,0.05,2.46,65.75,23.19,63.11,14,530
SP. PASTEUR,-6.892133857,107.5811173,LURUS KANAN,SIANG,SELASA,12-04-2022 12:00,904,1959,167,3030,0.01,1.77,36.00,16.50,63.11,14,530
SP. PASTEUR,-6.892133857,107.5811173,LURUS KANAN,SIANG,RABU,27-04-2022 12:00,1039,2302,125,3466,0.00,0.80,36.75,17.94,63.07,14,530
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,SABTU,02-04-2022 16:00,1513,1076,367,2956,0.00,0.99,38.50,25.31,63.07,21,530
SP. PASIR KALIKI,-6.900525,107.597353,LURUS KANAN,SIANG,SENIN,18-04-2022 12:00,310,863,54,1227,0.98,3.40,28.00,9.38,63.02,14,530
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,PAGI,SELASA,05-04-2022 7:00,387,306,253,946,0.20,5.78,46.50,21.94,63.01,12.5,530
SP. UJUNG BERUNG,-6.914068,107.699412,LURUS KIRI,PAGI,RABU,06-04-2022 7:00,3309,753,121,4183,0.00,0.59,40.00,29.38,62.99,6,530
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,KAMIS,28-04-2022 07:00,511,363,125,999,0.49,4.13,30.00,18.41,62.97,21,530
SP. BATUNUNGGAL,-6.949535,107.626064,Lurus kanan,SORE,JUMAT,22-04-2022 16:00,665,755,241,1661,0.18,7.00,49.00,25.69,62.95,14,530
SP. PASIR KALIKI,-6.900525,107.597353,LURUS KANAN,PAGI,SENIN,18-04-2022 07:00,437,832,35,1304,0.06,2.59,30.00,14.11,62.95,14,530
SP. BUAH BATU,-6.947987,107.633434,Lurus kanan,SORE,MINGGU,24-04-2022 12:00,346,835,134,1315,0.00,6.18,50.50,23.81,62.94,21,530
SP. GEDE BAGE,-6.937128,107.692583,BELOK KIRI,SIANG,SABTU,16-04-2022 12:00,206,521,102,829,0.94,17.96,48.00,17.50,62.94,7.2,530
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SIANG,SENIN,11-04-2022 12:00,1324,1605,600,3529,0.00,2.70,43.50,18.69,62.93,21,530
SP. CIBEREUM,-6.917224,107.574382,Lurus,SORE,JUMAT,22-04-2022 16:00,2325,1127,354,3806,0.03,0.60,37.50,18.81,62.89,9.5,530
SP. PASTEUR,-6.892133857,107.5811173,LURUS KANAN,SIANG,KAMIS,07-04-2022 12:00,1810,1018,318,3146,0.00,1.21,32.00,19.62,62.84,14,530
SP. BUAH BATU,-6.947987,107.633434,Lurus kanan,SIANG,SELASA,19-04-2022 12:00,887,770,339,1996,0.09,3.79,38.50,12.94,62.82,21,530
SP. ISTANA PLAZA,-6.906442307,107.5975451,LURUS KIRI,SIANG,JUMAT,29-04-2022 12:00,361,759,170,1290,0.01,3.25,61.50,31.75,62.82,14,530
SP. BUAH BATU,-6.947987,107.633434,Lurus kanan,PAGI,SABTU,23-04-2022 07:00,953,569,183,1705,0.24,2.10,48.00,34.69,62.81,21,530
SP. CIBEREUM,-6.917224,107.574382,LURUS,SIANG,SENIN,11-04-2022 12:00,1837,1088,397,3322,0.03,0.70,37.75,20.12,62.79,9.5,520
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,SORE,SABTU,16-04-2022 16:00,1954,930,161,3045,0.00,0.44,33.75,19.50,62.79,22,520
SP. PASTEUR,-6.892133857,107.5811173,LURUS KANAN,SORE,SELASA,12-04-2022 16:00,1495,2223,186,3904,0.00,0.71,39.50,17.56,62.77,14,520
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,PAGI,KAMIS,07-04-2022 7:00,1112,1139,272,2523,0.13,0.90,52.50,27.06,62.75,21,520
SP. M TOHA,-6.948332,107.609386,Belok kiri,PAGI,SELASA,19-04-2022 07:00,1408,328,123,1859,0.05,1.79,45.00,29.12,62.75,12.5,520
SP. ISTANA PLAZA,-6.906442307,107.5975451,Lurus,SORE,MINGGU,24-04-2022 16:00,176,603,47,826,3.50,12.29,75.75,44.19,62.71,14,520
SP. PASIR KALIKI,-6.900525,107.597353,Lurus,SORE,MINGGU,24-04-2022 12:00,252,426,12,690,0.10,4.86,46.25,20.44,62.65,14,520
SP. BATUNUNGGAL,-6.949535,107.626064,Lurus kiri,SORE,SELASA,19-04-2022 16:00,465,303,113,881,3.41,5.85,45.00,26.88,62.64,14,520
SP. PASTEUR,-6.892133857,107.5811173,LURUS KANAN,SORE,SENIN,11-04-2022 16:00,1144,2647,242,4033,0.00,1.09,43.75,22.00,62.64,14,520
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SORE,SENIN,25-04-2022 16:00,393,412,197,1002,0.20,7.49,40.25,17.69,62.63,12.5,520
SP. SAMSAT,-6.945438,107.641889,Belok kanan,SIANG,RABU,20-04-2022 12:00,316,696,660,1672,0.15,1.62,32.00,22.12,62.63,21,520
SP. PASIR KALIKI,-6.900525,107.597353,LURUS KANAN,SORE,JUMAT,29-04-2022 16:00,267,751,25,1043,0.17,4.57,29.25,10.45,62.62,14,520
SP. PASTEUR,-6.892133857,107.5811173,LURUS KANAN,SIANG,JUMAT,01-04-2022 12:00,761,1844,209,2814,0.00,1.46,38.75,17.25,62.62,14,520
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SORE,KAMIS,14-04-2022 16:00,490,1321,333,2144,0.00,6.28,50.25,18.25,62.61,21,520
SP. PASTEUR,-6.892133857,107.5811173,Lurus kanan,SIANG,KAMIS,21-04-2022 12:00,912,1939,269,3120,0.00,2.71,38.50,17.19,62.61,14,520
SP. BATUNUNGGAL,-6.949535,107.626064,LURUS KIRI,SORE,SELASA,12-04-2022 16:00,331,261,143,735,2.83,5.95,45.75,31.50,62.54,14,520
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,PAGI,SENIN,11-04-2022 7:00,1369,786,78,2233,0.00,1.43,39.25,19.69,62.53,12.5,520
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SORE,SABTU,02-04-2022 16:00,210,381,12,603,0.59,11.60,44.00,20.00,62.52,21,520
SP. PASIR KALIKI,-6.900525,107.597353,Lurus,SIANG,RABU,20-04-2022 12:00,247,502,142,891,0.64,3.24,56.75,27.31,62.52,14,520
SP. PASIR KALIKI,-6.900525,107.597353,Lurus,PAGI,RABU,20-04-2022 07:00,323,395,108,826,1.37,5.17,50.75,28.69,62.50,14,520
SP. BUAH BATU,-6.947987,107.633434,Lurus kanan,PAGI,RABU,20-04-2022 07:00,222,254,5,481,0.00,11.05,49.50,15.31,62.48,21,520
SP. CIBEREUM,-6.917224,107.574382,LURUS,SORE,JUMAT,08-04-2022 16:00,903,803,618,2324,0.08,2.19,114.00,47.50,62.48,9.5,520
SP. ISTANA PLAZA,-6.906442307,107.5975451,BELOK KANAN,SORE,KAMIS,28-04-2022 16:00,1495,1143,107,2745,0.00,0.83,40.00,20.50,62.48,14,520
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,PAGI,SELASA,26-04-2022 07:00,374,278,218,870,0.01,9.95,40.50,23.38,62.46,12.5,520
SP. SAMSAT,-6.945438,107.641889,Lurus kanan,SORE,KAMIS,21-04-2022 16:00,1541,897,303,2741,0.14,1.42,40.75,28.38,62.46,21,520
SP. M TOHA,-6.948332,107.609386,Lurus kanan,SIANG,JUMAT,22-04-2022 12:00,201,319,222,742,1.08,6.87,44.50,31.00,62.45,12.5,520
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SIANG,SABTU,09-04-2022 12:00,803,926,205,1934,0.25,3.31,41.00,18.12,62.43,21,520
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,PAGI,KAMIS,14-04-2022 07:00,588,495,215,1298,0.77,5.43,43.00,31.12,62.43,22,520
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,SIANG,SELASA,12-04-2022 12:00,1365,125,759,2249,0.03,2.37,54.75,11.94,62.42,22,520
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,RABU,27-04-2022 16:00,1746,1818,235,3799,0.00,2.36,41.50,13.38,62.41,21,520
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,PAGI,JUMAT,15-04-2022 07:00,683,469,85,1237,0.57,1.60,40.25,20.50,62.39,21,520
SP. M TOHA,-6.948332,107.609386,Lurus kanan,SIANG,JUMAT,22-04-2022 12:00,452,334,239,1025,1.01,3.78,44.25,31.12,62.39,12.5,520
SP. ISTANA PLAZA,-6.906442307,107.5975451,BELOK KANAN,SIANG,KAMIS,14-04-2022 12:00,1073,1124,161,2358,0.01,1.71,38.00,23.19,62.37,14,520
SP. BUAH BATU,-6.947987,107.633434,BELOK KIRI,PAGI,SABTU,16-04-2022 07:00,217,140,86,443,1.95,8.55,50.25,22.44,62.36,21,520
SP. M TOHA,-6.948332,107.609386,BELOK KIRI,PAGI,RABU,06-04-2022 7:00,1458,269,148,1875,0.12,0.93,43.75,24.31,62.36,12.5,520
SP. PASTEUR,-6.892133857,107.5811173,LURUS KANAN,SORE,SABTU,30-04-2022 16:00,1084,1886,145,3115,0.00,1.15,36.50,15.62,62.36,14,520
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SORE,SENIN,18-04-2022 16:00,866,676,163,1705,0.02,2.12,39.50,18.62,62.33,12.5,520
SP. CIBEREUM,-6.917224,107.574382,LURUS,SORE,KAMIS,07-04-2022 16:00,1612,2254,198,4064,0.00,0.47,39.50,26.12,62.32,9.5,520
SP. BUAH BATU,-6.947987,107.633434,BELOK KIRI,SORE,SELASA,12-04-2022 16:00,1641,772,73,2486,0.11,1.04,50.00,28.50,62.31,21,520
SP. PASTEUR,-6.892133857,107.5811173,LURUS KANAN,PAGI,RABU,27-04-2022 07:00,1127,1717,132,2976,0.23,0.74,45.00,17.06,62.30,14,520
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,SORE,JUMAT,29-04-2022 16:00,336,892,242,1470,0.01,2.10,36.00,16.56,62.27,22,520
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SORE,MINGGU,17-04-2022 16:00,415,963,447,1825,0.06,4.39,50.25,26.94,62.26,21,520
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,KAMIS,07-04-2022 7:00,600,357,138,1095,0.04,3.62,30.00,12.98,62.23,21,520
SP. GEDE BAGE,-6.937128,107.692583,BELOK KIRI,PAGI,SENIN,04-04-2022 7:00,329,100,30,459,0.68,7.57,49.00,24.75,62.22,7.2,520
SP. M TOHA,-6.948332,107.609386,BELOK KIRI,SORE,SABTU,09-04-2022 16:00,1150,317,104,1571,0.04,7.78,41.50,25.75,62.22,12.5,520
SP. M TOHA,-6.948332,107.609386,Lurus kanan,SORE,KAMIS,21-04-2022 16:00,371,452,206,1029,1.16,5.85,40.75,22.00,62.22,12.5,520
SP. ISTANA PLAZA,-6.906442307,107.5975451,BELOK KANAN,SIANG,JUMAT,29-04-2022 12:00,795,896,88,1779,0.37,1.86,40.00,26.12,62.20,14,520
SP. PASIR KOJA,-6.930399,107.57604,Lurus kanan,SIANG,SABTU,23-04-2022 12:00,206,1286,630,2122,0.12,2.49,56.00,23.50,62.19,22,520
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SIANG,SABTU,02-04-2022 12:00,1205,1771,404,3380,0.00,1.08,41.25,15.06,62.18,21,520
SP. UJUNG BERUNG,-6.914068,107.699412,Lurus kiri,SIANG,MINGGU,24-04-2022 07:00,1669,907,168,2744,0.00,1.13,29.25,17.06,62.18,6,520
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SIANG,SENIN,25-04-2022 12:00,1129,851,475,2455,0.04,0.85,46.00,35.06,62.17,21,520
SP. BATUNUNGGAL,-6.949535,107.626064,LURUS KIRI,PAGI,RABU,06-04-2022 7:00,422,290,114,826,1.37,13.45,45.75,32.25,62.16,14,520
SP. BUAH BATU,-6.947987,107.633434,BELOK KIRI,PAGI,JUMAT,01-04-2022 7:00,2228,674,63,2965,0.11,1.18,51.50,32.19,62.15,21,520
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,SIANG,RABU,27-04-2022 12:00,407,765,203,1375,0.85,3.22,44.00,24.75,62.15,22,520
